travelCode,userCode,from,to,flightType,price_flight,time,distance,agency,date_flight,year,month,day,day_of_week,name,place,days,price_hotel,total,date_hotel,booking_month
53,0,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,2020-10-01,2020,10,1,Thursday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-10-01,10
53,0,Campo Grande (MS),Brasilia (DF),premium,661.32,0.72,277.7,CloudFy,2020-10-03,2020,10,3,Saturday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-10-01,10
54,0,Aracaju (SE),Sao Paulo (SP),firstClass,730.43,1.02,392.76,CloudFy,2020-10-08,2020,10,8,Thursday,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-10-08,10
54,0,Sao Paulo (SP),Aracaju (SE),firstClass,1186.15,1.02,392.76,CloudFy,2020-10-11,2020,10,11,Sunday,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-10-08,10
55,0,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,2020-10-15,2020,10,15,Thursday,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-10-15,10
55,0,Florianopolis (SC),Recife (PE),firstClass,1175.62,1.76,676.53,Rainbow,2020-10-17,2020,10,17,Saturday,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-10-15,10
57,0,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,2020-10-29,2020,10,29,Thursday,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-10-29,10
57,0,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,2020-11-02,2020,11,2,Monday,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-10-29,10
60,0,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,2020-11-19,2020,11,19,Thursday,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-19,11
60,0,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2020-11-23,2020,11,23,Monday,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-19,11
65,0,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,2020-12-24,2020,12,24,Thursday,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,12
65,0,Rio de Janeiro (RJ),Aracaju (SE),economic,796.42,1.55,597.61,CloudFy,2020-12-25,2020,12,25,Friday,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,12
73,0,Aracaju (SE),Brasilia (DF),firstClass,898.04,1.11,425.98,FlyingDrops,2021-02-18,2021,2,18,Thursday,Hotel BP,Brasilia (DF),4,247.62,990.48,2021-02-18,2
73,0,Brasilia (DF),Aracaju (SE),firstClass,1287.52,1.11,425.98,FlyingDrops,2021-02-22,2021,2,22,Monday,Hotel BP,Brasilia (DF),4,247.62,990.48,2021-02-18,2
81,0,Brasilia (DF),Natal (RN),economic,726.19,1.43,550.69,Rainbow,2021-04-15,2021,4,15,Thursday,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-15,4
81,0,Natal (RN),Brasilia (DF),economic,686.79,1.43,550.69,Rainbow,2021-04-19,2021,4,19,Monday,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-15,4
86,0,Aracaju (SE),Sao Paulo (SP),premium,588.14,1.02,392.76,Rainbow,2021-05-20,2021,5,20,Thursday,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-05-20,5
86,0,Sao Paulo (SP),Aracaju (SE),premium,962.54,1.02,392.76,Rainbow,2021-05-23,2021,5,23,Sunday,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-05-20,5
87,0,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,2021-05-27,2021,5,27,Thursday,Hotel AU,Recife (PE),1,312.83,312.83,2021-05-27,5
87,0,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,2021-05-28,2021,5,28,Friday,Hotel AU,Recife (PE),1,312.83,312.83,2021-05-27,5
90,1,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,2019-10-03,2019,10,3,Thursday,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2019-10-03,10
90,1,Sao Paulo (SP),Aracaju (SE),premium,906.59,1.02,392.76,CloudFy,2019-10-04,2019,10,4,Friday,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2019-10-03,10
92,1,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,2019-10-17,2019,10,17,Thursday,Hotel BP,Brasilia (DF),1,247.62,247.62,2019-10-17,10
92,1,Brasilia (DF),Recife (PE),premium,559.13,0.63,242.21,Rainbow,2019-10-18,2019,10,18,Friday,Hotel BP,Brasilia (DF),1,247.62,247.62,2019-10-17,10
100,2,Brasilia (DF),Rio de Janeiro (RJ),economic,344.26,0.48,183.37,CloudFy,2019-10-31,2019,10,31,Thursday,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2019-10-31,10
100,2,Rio de Janeiro (RJ),Brasilia (DF),economic,369.57,0.48,183.37,CloudFy,2019-11-04,2019,11,4,Monday,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2019-10-31,10
101,2,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,2019-11-07,2019,11,7,Thursday,Hotel BW,Campo Grande (MS),3,60.39,181.17,2019-11-07,11
101,2,Campo Grande (MS),Aracaju (SE),economic,877.56,1.69,650.1,Rainbow,2019-11-10,2019,11,10,Sunday,Hotel BW,Campo Grande (MS),3,60.39,181.17,2019-11-07,11
105,2,Brasilia (DF),Aracaju (SE),economic,654.88,1.11,425.98,CloudFy,2019-12-05,2019,12,5,Thursday,Hotel Z,Aracaju (SE),4,208.04,832.16,2019-12-05,12
105,2,Aracaju (SE),Brasilia (DF),economic,472.72,1.11,425.98,CloudFy,2019-12-09,2019,12,9,Monday,Hotel Z,Aracaju (SE),4,208.04,832.16,2019-12-05,12
108,2,Brasilia (DF),Recife (PE),firstClass,804.24,0.63,242.21,CloudFy,2019-12-26,2019,12,26,Thursday,Hotel AU,Recife (PE),3,312.83,938.49,2019-12-26,12
108,2,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,2019-12-29,2019,12,29,Sunday,Hotel AU,Recife (PE),3,312.83,938.49,2019-12-26,12
109,2,Aracaju (SE),Campo Grande (MS),firstClass,1389.37,1.69,650.1,CloudFy,2020-01-02,2020,1,2,Thursday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-02,1
109,2,Campo Grande (MS),Aracaju (SE),firstClass,1581.8,1.69,650.1,CloudFy,2020-01-04,2020,1,4,Saturday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-02,1
110,2,Recife (PE),Salvador (BH),premium,1242.65,2.05,788.55,CloudFy,2020-01-09,2020,1,9,Thursday,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-09,1
110,2,Salvador (BH),Recife (PE),premium,1016.53,2.05,788.55,CloudFy,2020-01-10,2020,1,10,Friday,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-09,1
112,2,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,2020-01-23,2020,1,23,Thursday,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-01-23,1
112,2,Sao Paulo (SP),Brasilia (DF),premium,602.12,0.67,257.81,CloudFy,2020-01-27,2020,1,27,Monday,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-01-23,1
116,2,Aracaju (SE),Campo Grande (MS),economic,743.54,1.69,650.1,Rainbow,2020-02-20,2020,2,20,Thursday,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-02-20,2
116,2,Campo Grande (MS),Aracaju (SE),economic,877.56,1.69,650.1,Rainbow,2020-02-24,2020,2,24,Monday,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-02-20,2
117,2,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,2020-02-27,2020,2,27,Thursday,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-27,2
117,2,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,2020-02-29,2020,2,29,Saturday,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-27,2
119,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,2020-03-12,2020,3,12,Thursday,Hotel K,Salvador (BH),2,263.41,526.82,2020-03-12,3
119,2,Salvador (BH),Aracaju (SE),firstClass,1520.02,2.16,830.86,Rainbow,2020-03-14,2020,3,14,Saturday,Hotel K,Salvador (BH),2,263.41,526.82,2020-03-12,3
122,2,Aracaju (SE),Florianopolis (SC),premium,1174.97,2.1,808.85,CloudFy,2020-04-02,2020,4,2,Thursday,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-04-02,4
122,2,Florianopolis (SC),Aracaju (SE),premium,1149.53,2.1,808.85,CloudFy,2020-04-06,2020,4,6,Monday,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-04-02,4
124,2,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,2020-04-16,2020,4,16,Thursday,Hotel Z,Aracaju (SE),3,208.04,624.12,2020-04-16,4
124,2,Aracaju (SE),Recife (PE),firstClass,1119.47,1.44,555.74,Rainbow,2020-04-19,2020,4,19,Sunday,Hotel Z,Aracaju (SE),3,208.04,624.12,2020-04-16,4
125,2,Recife (PE),Campo Grande (MS),premium,793.15,1.39,535.4,CloudFy,2020-04-23,2020,4,23,Thursday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-04-23,4
125,2,Campo Grande (MS),Recife (PE),premium,959.91,1.39,535.4,CloudFy,2020-04-25,2020,4,25,Saturday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-04-23,4
135,2,Aracaju (SE),Rio de Janeiro (RJ),economic,717.04,1.55,597.61,CloudFy,2020-07-02,2020,7,2,Thursday,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-07-02,7
135,2,Rio de Janeiro (RJ),Aracaju (SE),economic,796.42,1.55,597.61,CloudFy,2020-07-03,2020,7,3,Friday,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-07-02,7
137,2,Recife (PE),Florianopolis (SC),firstClass,1371.83,1.76,676.53,Rainbow,2020-07-16,2020,7,16,Thursday,Hotel A,Florianopolis (SC),3,313.02,939.06,2020-07-16,7
137,2,Florianopolis (SC),Recife (PE),firstClass,1175.62,1.76,676.53,Rainbow,2020-07-19,2020,7,19,Sunday,Hotel A,Florianopolis (SC),3,313.02,939.06,2020-07-16,7
150,2,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,2020-10-15,2020,10,15,Thursday,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-10-15,10
150,2,Aracaju (SE),Brasilia (DF),firstClass,959.29,1.11,425.98,Rainbow,2020-10-17,2020,10,17,Saturday,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-10-15,10
153,2,Aracaju (SE),Campo Grande (MS),premium,1021.53,1.69,650.1,CloudFy,2020-11-05,2020,11,5,Thursday,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-11-05,11
153,2,Campo Grande (MS),Aracaju (SE),premium,1215.45,1.69,650.1,CloudFy,2020-11-09,2020,11,9,Monday,Hotel BW,Campo Grande (MS),4,60.39,241.56,2020-11-05,11
156,2,Recife (PE),Brasilia (DF),firstClass,697.22,0.63,242.21,FlyingDrops,2020-11-26,2020,11,26,Thursday,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-11-26,11
156,2,Brasilia (DF),Recife (PE),firstClass,691.39,0.63,242.21,FlyingDrops,2020-11-28,2020,11,28,Saturday,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-11-26,11
160,2,Recife (PE),Campo Grande (MS),economic,563.71,1.39,535.4,CloudFy,2020-12-24,2020,12,24,Thursday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-12-24,12
160,2,Campo Grande (MS),Recife (PE),economic,659.43,1.39,535.4,CloudFy,2020-12-26,2020,12,26,Saturday,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-12-24,12
165,2,Recife (PE),Natal (RN),firstClass,633.71,0.58,222.67,FlyingDrops,2021-01-28,2021,1,28,Thursday,Hotel BD,Natal (RN),3,242.88,728.64,2021-01-28,1
165,2,Natal (RN),Recife (PE),firstClass,694.42,0.58,222.67,FlyingDrops,2021-01-31,2021,1,31,Sunday,Hotel BD,Natal (RN),3,242.88,728.64,2021-01-28,1
177,2,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,2021-04-22,2021,4,22,Thursday,Hotel Z,Aracaju (SE),2,208.04,416.08,2021-04-22,4
177,2,Aracaju (SE),Brasilia (DF),premium,706.36,1.11,425.98,Rainbow,2021-04-24,2021,4,24,Saturday,Hotel Z,Aracaju (SE),2,208.04,416.08,2021-04-22,4
180,2,Aracaju (SE),Campo Grande (MS),premium,1116.83,1.69,650.1,Rainbow,2021-05-13,2021,5,13,Thursday,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-05-13,5
180,2,Campo Grande (MS),Aracaju (SE),premium,1146.95,1.69,650.1,Rainbow,2021-05-16,2021,5,16,Sunday,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-05-13,5
187,2,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,2021-07-01,2021,7,1,Thursday,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-07-01,7
187,2,Aracaju (SE),Recife (PE),premium,835.21,1.44,555.74,CloudFy,2021-07-04,2021,7,4,Sunday,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-07-01,7
188,2,Brasilia (DF),Sao Paulo (SP),premium,750.0,0.67,257.81,Rainbow,2021-07-08,2021,7,8,Thursday,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-07-08,7
188,2,Sao Paulo (SP),Brasilia (DF),premium,586.06,0.67,257.81,Rainbow,2021-07-10,2021,7,10,Saturday,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-07-08,7
189,2,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,2021-07-15,2021,7,15,Thursday,Hotel K,Salvador (BH),4,263.41,1053.64,2021-07-15,7
189,2,Salvador (BH),Aracaju (SE),firstClass,1520.02,2.16,830.86,Rainbow,2021-07-19,2021,7,19,Monday,Hotel K,Salvador (BH),4,263.41,1053.64,2021-07-15,7
192,2,Brasilia (DF),Florianopolis (SC),economic,884.94,1.66,637.56,CloudFy,2021-08-05,2021,8,5,Thursday,Hotel A,Florianopolis (SC),4,313.02,1252.08,2021-08-05,8
192,2,Florianopolis (SC),Brasilia (DF),economic,636.51,1.66,637.56,CloudFy,2021-08-09,2021,8,9,Monday,Hotel A,Florianopolis (SC),4,313.02,1252.08,2021-08-05,8
197,2,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,2021-09-09,2021,9,9,Thursday,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-09-09,9
197,2,Florianopolis (SC),Brasilia (DF),premium,814.55,1.66,637.56,Rainbow,2021-09-12,2021,9,12,Sunday,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-09-09,9
201,2,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,2021-10-07,2021,10,7,Thursday,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-10-07,10
201,2,Florianopolis (SC),Aracaju (SE),firstClass,1582.1,2.1,808.85,Rainbow,2021-10-09,2021,10,9,Saturday,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-10-07,10
205,2,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,2021-11-04,2021,11,4,Thursday,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2021-11-04,11
205,2,Rio de Janeiro (RJ),Brasilia (DF),firstClass,591.19,0.48,183.37,FlyingDrops,2021-11-06,2021,11,6,Saturday,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2021-11-04,11
211,2,Recife (PE),Aracaju (SE),economic,663.23,1.44,555.74,Rainbow,2021-12-16,2021,12,16,Thursday,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-12-16,12
211,2,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,2021-12-19,2021,12,19,Sunday,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-12-16,12
213,2,Brasilia (DF),Salvador (BH),economic,921.08,1.76,676.56,Rainbow,2021-12-30,2021,12,30,Thursday,Hotel K,Salvador (BH),3,263.41,790.23,2021-12-30,12
213,2,Salvador (BH),Brasilia (DF),economic,609.83,1.76,676.56,Rainbow,2022-01-02,2022,1,2,Sunday,Hotel K,Salvador (BH),3,263.41,790.23,2021-12-30,12
214,2,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,2022-01-06,2022,1,6,Thursday,Hotel AU,Recife (PE),1,312.83,312.83,2022-01-06,1
214,2,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,2022-01-07,2022,1,7,Friday,Hotel AU,Recife (PE),1,312.83,312.83,2022-01-06,1
219,2,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,2022-02-10,2022,2,10,Thursday,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-02-10,2
219,2,Florianopolis (SC),Brasilia (DF),economic,555.01,1.66,637.56,Rainbow,2022-02-12,2022,2,12,Saturday,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-02-10,2
221,2,Aracaju (SE),Salvador (BH),economic,943.36,2.16,830.86,Rainbow,2022-02-24,2022,2,24,Thursday,Hotel K,Salvador (BH),1,263.41,263.41,2022-02-24,2
221,2,Salvador (BH),Aracaju (SE),economic,826.02,2.16,830.86,Rainbow,2022-02-25,2022,2,25,Friday,Hotel K,Salvador (BH),1,263.41,263.41,2022-02-24,2
224,2,Aracaju (SE),Brasilia (DF),premium,755.62,1.11,425.98,CloudFy,2022-03-17,2022,3,17,Thursday,Hotel BP,Brasilia (DF),3,247.62,742.86,2022-03-17,3
224,2,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,2022-03-20,2022,3,20,Sunday,Hotel BP,Brasilia (DF),3,247.62,742.86,2022-03-17,3
225,2,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,2022-03-24,2022,3,24,Thursday,Hotel BD,Natal (RN),4,242.88,971.52,2022-03-24,3
225,2,Natal (RN),Brasilia (DF),premium,898.46,1.43,550.69,CloudFy,2022-03-28,2022,3,28,Monday,Hotel BD,Natal (RN),4,242.88,971.52,2022-03-24,3
233,3,Brasilia (DF),Florianopolis (SC),firstClass,1569.65,1.66,637.56,FlyingDrops,2019-11-14,2019,11,14,Thursday,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,11
233,3,Florianopolis (SC),Brasilia (DF),firstClass,1097.17,1.66,637.56,FlyingDrops,2019-11-16,2019,11,16,Saturday,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,11
235,3,Brasilia (DF),Florianopolis (SC),economic,889.07,1.66,637.56,Rainbow,2019-11-28,2019,11,28,Thursday,Hotel A,Florianopolis (SC),3,313.02,939.06,2019-11-28,11
235,3,Florianopolis (SC),Brasilia (DF),economic,555.01,1.66,637.56,Rainbow,2019-12-01,2019,12,1,Sunday,Hotel A,Florianopolis (SC),3,313.02,939.06,2019-11-28,11
238,3,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,2019-12-19,2019,12,19,Thursday,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-19,12
238,3,Florianopolis (SC),Recife (PE),premium,1013.4,1.76,676.53,Rainbow,2019-12-21,2019,12,21,Saturday,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-19,12
239,3,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,2019-12-26,2019,12,26,Thursday,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-26,12
239,3,Florianopolis (SC),Recife (PE),firstClass,1292.29,1.76,676.53,FlyingDrops,2019-12-28,2019,12,28,Saturday,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-26,12
240,3,Recife (PE),Brasilia (DF),economic,439.38,0.63,242.21,Rainbow,2020-01-02,2020,1,2,Thursday,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-01-02,1
240,3,Brasilia (DF),Recife (PE),economic,421.2,0.63,242.21,Rainbow,2020-01-06,2020,1,6,Monday,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-01-02,1
241,3,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,2020-01-09,2020,1,9,Thursday,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-01-09,1
